id,action_type,title,platform,user_id,timestamp,contents_id_content,youtube_streams_id_streams,category_id,module_name
0043f84a-42d5-4a9d-a599-22539b15ef37,login_failed,"Supabase AuthException: {""code"":""unexpected_failure"",""message"":""Database error saving new user""}",android,,2026-08-26 04:35:57.468372+00,,,,auth
00482ee6-b3af-4ccf-8a33-b967ae16b384,view_page,Tingkat Pengangguran,ios,testessl846@gmail.com,2026-08-20 01:22:01.431723+00,,,2,fitur
0056c563-894e-4366-a972-777bbf8148fa,view_pdf,Produk Domestik Regional Bruto Kota Malang Menurut Pengeluaran 2021–2025,ios,testessl846@gmail.com,2026-08-20 04:12:28.658488+00,,,7,fitur
049d4c3a-ab29-471e-8580-a14348d21c2d,view_page,Tingkat Pengangguran,ios,testessl846@gmail.com,2026-08-19 17:17:19.020623+00,,,2,fitur
05d0b1c8-5c5b-476a-9279-392633ddb92e,view_page,Halaman Login,android,,2026-08-26 04:35:53.20714+00,,,,auth
06565a1f-b9c7-4d11-a946-c8db4e9a6ef6,view_page,Produktivitas Padi,ios,testessl846@gmail.com,2026-08-20 02:57:53.160791+00,,,6,fitur
072d8d29-f336-4701-96bc-e62dc4ac70e7,login_success,Login Google Sukses,ios,testessl846@gmail.com,2026-08-19 17:15:31.992846+00,,,,auth
086d6543-4ac2-443d-9a19-8c569b7cff72,view_page,Inflasi Tahun Kalender,ios,testessl846@gmail.com,2026-08-20 03:04:22.675458+00,,,1,fitur
090853a3-e20f-4765-aa1c-3cbaacacf859,view_page,Tingkat Pengangguran,ios,testessl846@gmail.com,2026-08-20 01:57:47.898325+00,,,2,fitur
09ddecd8-8039-4398-b648-f19adb44ce74,download_file,Produk Domestik Regional Bruto Kota Malang Menurut Pengeluaran 2021–2025,ios,testessl846@gmail.com,2026-08-20 04:43:32.304537+00,,,7,fitur
0bbcbe42-bfd7-4e8d-9c6c-85353512e442,view_page,Pertanian,ios,testessl846@gmail.com,2026-08-20 08:30:14.89035+00,,,6,fitur
0c0e3e93-f811-4199-a7aa-2bd888b1da48,view_page,Angkatan Kerja Menurut Pendidikan,ios,testessl846@gmail.com,2026-08-20 01:22:03.587309+00,,,2,fitur
0e0e2870-e3f1-4fd1-aff9-7cd765cffe08,view_page,Produk Domestik Regional Bruto (PDRB),ios,testessl846@gmail.com,2026-08-20 07:24:12.643763+00,,,1,fitur
0e2bd455-a4d4-479d-8052-de9a97daced5,view_page,Angkatan Kerja Menurut Pendidikan,ios,testessl846@gmail.com,2026-08-20 02:10:08.094671+00,,,2,fitur
10e59936-ac42-4ce5-b269-6feb4ce294b9,view_pdf,"Tingkat Penghunian Tingkat Penghunian Kamar Hotel di Kota Malang Tembus 48,57 Persen Selama Musim Libur Sekolah Juni 2026",ios,testessl846@gmail.com,2026-08-20 08:17:26.517881+00,,,1,fitur
124ca14f-1568-4eda-a941-7e54457cd719,view_pdf,Luas Panen dan Produksi Padidi Kota Malang 2025 (Angka Tetap),ios,testessl846@gmail.com,2026-08-20 04:41:40.680989+00,,,6,fitur
12f59530-772c-4170-9c9a-efdbf4825541,download_file,Infografis ST2023 - I Kota Malang,ios,testessl846@gmail.com,2026-08-20 04:05:13.568221+00,,,,infografis
133f29c2-4506-4d82-b710-d57736407dde,view_brs_list,Temukan BRS lainnya,ios,testessl846@gmail.com,2026-08-20 02:55:54.005195+00,,,,berita
13553d21-6ab1-4b2f-b374-8dfee6d6e2fa,login_success,Login Google Native Sukses,android,20tttttttttttt@gmail.com,2026-08-27 05:16:25.924988+00,,,,auth
15458aae-6157-4147-88e2-0a3ebefd0ad0,view_pdf,Inflasi Kota Malang 2025,android,20tttttttttttt@gmail.com,2026-08-27 07:35:48.786942+00,,,1,fitur
15df28e4-cec1-4896-bba6-c6683607019d,view_page,Halaman Profil,android,20tttttttttttt@gmail.com,2026-08-31 06:46:48.074955+00,,,,profil
17dd30c8-7c42-463b-9ffa-0344f5a6e8c5,view_pdf,Inflasi Kota Malang 2025,ios,testessl846@gmail.com,2026-08-20 04:06:05.017375+00,,,1,fitur
19cbf8bb-548e-4df6-b418-66f80d374821,view_page,Halaman Profil,ios,testessl846@gmail.com,2026-08-20 07:22:22.636144+00,,,,profil
1b0e329b-04e1-40d6-943e-14756be1f3c2,view_publikasi_list,Temukan Publikasi lainnya,ios,testessl846@gmail.com,2026-08-20 04:06:20.372877+00,,,,publikasi
